PWSName,RegistryID,PWSId,CitiesServed,StateCode,CountiesServed,PWSTypeCode,PrimarySourceCode,PopulationServedCount,QtrsWithVio,SeriousViolator,HealthFlag,RulesVio3yr,Viopaccr,Vioremain,Ifea,Feas,SDWAContaminantsInViol3yr,PbAle,CuAle,DFR URL,cons_demo.COUNTY,cons_demo.ACSTOTPOP,cons_demo.ACSIPOVBAS,cons_demo.25ABOVE,cons_demo.PCT_25ABOVE,cons_demo.PEOPCOLOR,cons_demo.PCT_PEOPCOLOR,cons_demo.LOWINCOME,cons_demo.PCT_LOWINCOME,cons_demo.LESSHS,cons_demo.PCT_LESSHS,cons_demo.LINGISO,cons_demo.PCT_LINGISO,cons_demo.UNDER5,cons_demo.PCT_UNDER5,cons_demo.OVER64,cons_demo.PCT_OVER64,cons_demo.AREALAND,cons_demo.AREAWATER
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1024=CYANIDE,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1025=Fluoride,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1035=Mercury,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1036=Nickel,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1040=Nitrate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1041=Nitrite,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 1045=Selenium,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 1074=Antimony, Total",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 1075=Beryllium, Total",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 1085=Thallium, Total",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2378=1,2,4-Trichlorobenzene",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2380=cis-1,2-Dichloroethylene",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2955=Xylenes, Total",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2964=DICHLOROMETHANE,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2968=o-Dichlorobenzene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2969=p-Dichlorobenzene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2976=Vinyl chloride,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2977=1,1-Dichloroethylene",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2979=trans-1,2-Dichloroethylene",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2980=1,2-Dichloroethane",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2981=1,1,1-Trichloroethane",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2982=Carbon tetrachloride,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2983=1,2-Dichloropropane",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2984=Trichloroethylene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,," 2985=1,1,2-Trichloroethane",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2987=Tetrachloroethylene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2989=CHLOROBENZENE,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2990=Benzene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2991=Toluene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2992=Ethylbenzene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORKLAND WATER SYSTEM,110012993243,AL0001428,FORKLAND,AL,Greene,CWS,GW,1137,12,Yes,No,5,20,18,5,, 2996=Styrene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001428&sys=SDWIS,Greene,7851,7737,5534,0.704878359,6483,0.825754681,4605,0.595191935,861,0.109667558,21,1.39686E-05,539,0.068653675,1796,0.228760667,1675782057,33416141
FORREST COURT APARTMENTS,110067307818,AL7380046,,AL,,CWS,,25,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL7380046&sys=SDWIS,,,,,,,,,,,,,,,,,,,
FORT DEPOSIT WATER & SEWER BOARD,110012982228,AL0000846,FORT DEPOSIT,AL,Lowndes,CWS,GW,2250,0,No,No,0,5,0,3,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000846&sys=SDWIS,Lowndes,10334,10171,7171,0.693922973,7768,0.751693439,5315,0.522564153,1094,0.105864138,0,1.02443E-05,641,0.062028256,1965,0.190149023,1854651814,23271259
"FORT JAMES-PENNINGTON, INC.",110050939428,AL0000230,,AL,Choctaw,NTNCWS,SW,1400,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000230&sys=SDWIS,Choctaw,12792,12603,9281,0.725531582,5571,0.435506567,5241,0.415853368,1802,0.140869293,0,1.10123E-05,700,0.054721701,2916,0.227954972,2365900081,19114321
FORT MORGAN,110051010366,AL0000037,,AL,Baldwin,TNCWS,GW,300,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000037&sys=SDWIS,Baldwin,227131,223772,161977,0.713143516,39583,0.174273877,57840,0.258477379,14555,0.064081962,730,2.82137E-07,12035,0.052987043,46805,0.206070506,4117656514,1132955729
FORT PAYNE WATER WORKS BOARD,110013245032,AL0000509,FORT PAYNE,AL,DeKalb,CWS,SW,25107,9,No,No,1,1,1,2,,2051=LASSO,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000509&sys=SDWIS,DeKalb,71554,70605,48286,0.674819018,14572,0.20365039,32922,0.466284257,10522,0.147049781,667,2.05509E-06,4209,0.058822707,12128,0.169494368,2012620262,4107136
FORT RUCKER -AMERICAN WATER ENTERPRISES,110000719697,AL0001489,,AL,Dale,CWS,GW,16774,0,No,No,0,1,0,1,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001489&sys=SDWIS,Dale,49443,47886,33606,0.679691766,16121,0.326052222,18976,0.396274485,5093,0.103007504,256,2.08336E-06,3210,0.064923245,8406,0.170013955,1453276164,4051341
FORT TOULOUSE PARK,110050995456,AL0000543,WETUMPKA,AL,Elmore,TNCWS,GW,365,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000543&sys=SDWIS,Elmore,87146,82377,60372,0.692768458,23512,0.269800106,21301,0.258579458,7459,0.085591995,250,9.82168E-07,4892,0.05613568,13510,0.155027196,1601945704,99781063
FORWARD OPERATING BASE,110051147166,AL0001802,FORT RUCKER,AL,Dale,TNCWS,GW,25,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001802&sys=SDWIS,Dale,49443,47886,33606,0.679691766,16121,0.326052222,18976,0.396274485,5093,0.103007504,256,2.08336E-06,3210,0.064923245,8406,0.170013955,1453276164,4051341
FOSCUE HOUSE,110050933166,AL0000911,DEMOPOLIS,AL,Marengo,TNCWS,SWP,1584,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000911&sys=SDWIS,Marengo,19397,19170,13044,0.672475125,10738,0.553590761,9280,0.484089724,1750,0.090220137,96,4.65124E-06,1276,0.065783369,3822,0.19704078,2530155136,14951685
FOSTERS-RALPH WATER AUTHORITY,110013245684,AL0001302,RALPH,AL,Tuscaloosa,CWS,SWP,6081,1,No,No,1,1,0,1,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001302&sys=SDWIS,Tuscaloosa,223945,213541,140600,0.627832727,88354,0.394534372,73229,0.342927119,14563,0.06502936,907,2.90381E-07,13168,0.058800152,30071,0.134278506,3420980817,78702670
FOUR OAKS STEAK HOUSE,110050933219,AL0000917,,AL,Marion,TNCWS,GW,32,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000917&sys=SDWIS,Marion,29392,28908,21005,0.714650245,2678,0.091113228,12364,0.427701674,3921,0.133403647,102,4.53877E-06,1464,0.049809472,6113,0.207981764,1922660061,3180617
FOUR STAR OIL & GAS CO,110050923630,AL0000985,,AL,Mobile,NTNCWS,GW,34,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000985&sys=SDWIS,Mobile,414620,408140,280280,0.675992475,181616,0.438030003,158729,0.388908218,34027,0.082067918,1257,1.97935E-07,26908,0.064897979,67460,0.162703198,3184064142,1074011171
"FOWL RIVER HARBOR, INC.",110050992075,AL0000969,,AL,Mobile,TNCWS,GW,50,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000969&sys=SDWIS,Mobile,414620,408140,280280,0.675992475,181616,0.438030003,158729,0.388908218,34027,0.082067918,1257,1.97935E-07,26908,0.064897979,67460,0.162703198,3184064142,1074011171
FOWL RIVER MARINA,110051180501,AL0001772,,AL,Mobile,TNCWS,GW,50,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001772&sys=SDWIS,Mobile,414620,408140,280280,0.675992475,181616,0.438030003,158729,0.388908218,34027,0.082067918,1257,1.97935E-07,26908,0.064897979,67460,0.162703198,3184064142,1074011171
FRANDERS MOBILE HOME PARK,110047992543,AL0001473,,AL,Russell,CWS,GW,47,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001473&sys=SDWIS,Russell,58695,57811,39883,0.679495698,32584,0.555140983,24771,0.428482469,5881,0.100195928,350,1.70706E-06,3969,0.067620751,8448,0.143930488,1660652494,15564412
FRANK LEE YOUTH CENTER,110047795454,AL0000536,INGRAM TRADE SH,AL,Elmore,CWS,GW,32,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000536&sys=SDWIS,Elmore,87146,82377,60372,0.692768458,23512,0.269800106,21301,0.258579458,7459,0.085591995,250,9.82168E-07,4892,0.05613568,13510,0.155027196,1601945704,99781063
FRANKLIN COUNTY WATER SERVICES AUTHORITY,110025363265,AL0001500,RUSSELLVILLE,AL,Franklin,CWS,SW,4866,2,No,No,1,1,0,1,,2032=Diquat,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001500&sys=SDWIS,Franklin,32034,31660,21369,0.667072485,7750,0.241930449,14328,0.452558433,4381,0.136760941,493,4.26924E-06,2312,0.072173316,5279,0.164793657,1641845708,32639621
FRANKLIN MCMURRAY BAPTIST CAMP,110051009680,AL0000640,,AL,Franklin,TNCWS,GW,50,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000640&sys=SDWIS,Franklin,32034,31660,21369,0.667072485,7750,0.241930449,14328,0.452558433,4381,0.136760941,493,4.26924E-06,2312,0.072173316,5279,0.164793657,1641845708,32639621
"FRANKLIN, TOWN OF",110012982424,AL0000860,TUSKEGEE,AL,Macon,CWS,SWP,150,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000860&sys=SDWIS,Macon,19490,17112,12539,0.643355567,16280,0.835300154,7743,0.452489481,2067,0.106054387,3,5.44148E-06,900,0.046177527,3948,0.202565418,1576435594,11765508
FRANKVILLE WATER & FIRE PRO AUTHORITY,110012988446,AL0001357,FRANKVILLE,AL,Washington,CWS,GW,945,1,No,No,1,2,0,2,,8000=Revised Total Coliform Rule,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001357&sys=SDWIS,Washington,15574,15441,10831,0.695453962,5433,0.348850649,6528,0.422770546,1498,0.096185951,2,6.17606E-06,824,0.052908694,3215,0.2064338,2797712949,21660030
FREE WILL BAPT. CHILDRENS HOME,110048030224,AL0001329,,AL,Walker,CWS,GW,195,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001329&sys=SDWIS,Walker,65194,63885,45362,0.695800227,8023,0.123063472,25756,0.403161932,8033,0.12321686,184,0.00000189,3799,0.058272234,12508,0.191858146,2048757699,36683003
FREEMANVILLE WATER SYSTEM,110013245210,AL0000561,ATMORE,AL,Escambia,CWS,GW,3414,3,No,No,1,10,0,4,,1040=Nitrate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000561&sys=SDWIS,Escambia,36879,33973,25716,0.697307411,14769,0.400471813,16488,0.485326583,4697,0.127362456,71,3.45352E-06,2112,0.057268364,6623,0.179587299,2448595161,20024887
FREEPORT SUBDIVISION,110047664988,AL0001061,,AL,Montgomery,CWS,GW,75,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001061&sys=SDWIS,Montgomery,229072,221128,152516,0.665799399,154791,0.675730775,84370,0.381543721,18715,0.081699204,1370,3.56653E-07,15414,0.067288887,34669,0.151345429,2034059352,37703221
FREEWAY MOTEL,110050975986,AL0000510,,AL,DeKalb,TNCWS,GW,40,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000510&sys=SDWIS,DeKalb,71554,70605,48286,0.674819018,14572,0.20365039,32922,0.466284257,10522,0.147049781,667,2.05509E-06,4209,0.058822707,12128,0.169494368,2012620262,4107136
FRIENDSHIP WATER WORKS,110012977840,AL0000537,FRIENDSHIP,AL,Elmore,CWS,SWP,4425,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000537&sys=SDWIS,Elmore,87146,82377,60372,0.692768458,23512,0.269800106,21301,0.258579458,7459,0.085591995,250,9.82168E-07,4892,0.05613568,13510,0.155027196,1601945704,99781063
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,,2005=Endrin,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2010=BHC-GAMMA,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2015=Methoxychlor,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2020=Toxaphene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2031=Dalapon,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2032=Diquat,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2033=Endothall,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2034=Glyphosate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2035=Di(2-ethylhexyl) adipate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2036=OXAMYL,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2037=Simazine,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
FRISCO CITY WATER SYSTEM,110012984360,AL0001047,FRISCO CITY,AL,Monroe,CWS,GW,2100,9,No,No,1,1,0,1,, 2039=Di(2-ethylhexyl) phthalate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001047&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
